"","ListingKey","Term","LoanOriginationDate","LoanOriginalAmount","MonthlyLoanPayment","ProsperScore","ProsperRisk"
"154","10713594154052807283D9C","60",2013-11-29,15000,429.69,4,"3 <= Score <= 5"
"155","107B3591400829838E5C400","60",2013-10-23,15000,386.64,3,"3 <= Score <= 5"
"162","10453596739685417502B89","36",2013-12-26,4000,135.84,4,"3 <= Score <= 5"
"167","34B6359368663383034A263","36",2013-11-06,3500,151.16,2,"1 <= Score <= 2"
"169","34BB35893883024496662F5","36",2013-09-13,4500,161.78,7,"6 <= Score <= 8"
"175","34E13569083162821956F5F","36",2013-01-24,3600,113.88,10,"Score >= 9"
"181","0F4C35965009736891E5D16","36",2013-12-30,7500,277.58,3,"3 <= Score <= 5"
"182","0F4E35955261089459E8093","36",2013-11-20,4000,168.17,3,"3 <= Score <= 5"
"188","2D5A3586746849639718666","36",2013-08-22,3500,124.42,4,"3 <= Score <= 5"
"191","2D663593594676625A57EB1","60",2013-10-25,15000,377.64,6,"6 <= Score <= 8"
"193","2D773581713064168BCF5CC","60",2013-06-20,15000,461.26,4,"3 <= Score <= 5"
"196","10AE357827721554660AC5B","60",2013-05-17,15000,378.38,5,"3 <= Score <= 5"
"203","2E9F35823157750886392FC","36",2013-06-28,10000,366.51,5,"3 <= Score <= 5"
"204","2EAB3589784885230AC3659","36",2013-09-16,20000,640.57,8,"6 <= Score <= 8"
"210","2EFC35818388909896DF5AB","36",2013-07-03,4000,165.15,2,"1 <= Score <= 2"
"212","10EC3592924283379741ED5","60",2013-11-06,15000,375.21,7,"6 <= Score <= 8"
"215","10333580913944779107931","60",2013-06-20,10000,275,5,"3 <= Score <= 5"
"217","1043357795230175365A344","36",2013-05-10,4000,165.15,2,"1 <= Score <= 2"
"219","10583571884290224529BF5","36",2013-03-18,10000,349.55,4,"3 <= Score <= 5"
"222","2F0835795456070189F7855","60",2013-05-24,15000,343.91,8,"6 <= Score <= 8"
"224","2F243591142788191D1D8C5","36",2013-10-10,7000,229.14,6,"6 <= Score <= 8"
"228","2EA73596881900991971D30","36",2013-12-05,15000,531.44,6,"6 <= Score <= 8"
"229","2EAA359566276036539F78C","60",2013-11-27,9000,234.21,5,"3 <= Score <= 5"
"231","10743585536867975C08BD4","60",2013-08-08,8000,178.72,7,"6 <= Score <= 8"
"235","11BE35842473562903D159C","60",2013-07-25,30000,701.01,9,"Score >= 9"
"236","11C8359156145385216A0A4","60",2013-10-18,15000,380.9,7,"6 <= Score <= 8"
"237","11D335932344051959C94C6","36",2013-11-08,9000,274,11,"Score >= 9"
"238","11DB359615393503181349A","36",2013-12-17,4000,141.02,3,"3 <= Score <= 5"
"239","2EAF3583227932540324550","60",2013-06-28,15000,405.72,5,"3 <= Score <= 5"
"245","2FFE3582297496473582C07","36",2013-06-25,4000,168.32,2,"1 <= Score <= 2"
"247","11DD3574038642978A7FBC5","60",2013-03-27,15000,419.33,4,"3 <= Score <= 5"
"255","10193577892073873339872","36",2013-04-29,4000,163.56,2,"1 <= Score <= 2"
"257","30213585293212475746CC7","36",2013-08-12,3000,108.07,4,"3 <= Score <= 5"
"283","107B3579299661826B2AED7","36",2013-06-17,20000,694.19,4,"3 <= Score <= 5"
"286","117B3579340421176C5411E","36",2013-05-21,5000,181.36,4,"3 <= Score <= 5"
"295","308E3592401696250EA40B6","60",2013-10-23,20000,444.79,10,"Score >= 9"
"296","30923592331569315C0A8B1","36",2013-10-29,8000,296.49,3,"3 <= Score <= 5"
"302","00813577272224430FC1CAA","36",2013-05-30,4000,166.73,2,"1 <= Score <= 2"
"308","08EE35956672069418D878A","36",2013-12-12,15000,501.01,4,"3 <= Score <= 5"
"314","09233589620788733CFB8CE","36",2013-11-18,15000,523.66,3,"3 <= Score <= 5"
"318","30C73578202697765A988E6","60",2013-05-22,15000,358.35,7,"6 <= Score <= 8"
"324","30DA35695751043589AB773","36",2013-02-01,7500,283.49,4,"3 <= Score <= 5"
"334","093F3590403579166593ACD","36",2013-10-02,8000,287.62,7,"6 <= Score <= 8"
"335","00A93571705469822AF1B6E","36",2013-02-26,12000,429.87,2,"1 <= Score <= 2"
"341","00D435855820315011A3633","36",2013-08-13,7000,220.94,10,"Score >= 9"
"344","30ED35791598170081753F3","60",2013-06-17,10000,252.25,6,"6 <= Score <= 8"
"348","311B359480041467029073B","36",2013-12-12,15000,497.43,7,"6 <= Score <= 8"
"350","313635901230654318A9030","36",2013-10-01,4000,135.72,5,"3 <= Score <= 5"
"358","09643589570147652404D2A","60",2013-09-17,20000,524.33,6,"6 <= Score <= 8"
"360","08EF3576721796653B20BD9","36",2013-05-17,10000,385.64,3,"3 <= Score <= 5"
"366","00D435912306936173395D7","36",2013-10-23,9000,282.82,10,"Score >= 9"
"374","31553584786951844441200","36",2013-08-12,3000,118,2,"1 <= Score <= 2"
"375","31693597083253967272470","36",2013-12-09,25000,854.44,5,"3 <= Score <= 5"
"378","2C603585612812663DBE819","60",2013-08-21,19000,429.3,7,"6 <= Score <= 8"
"379","2C623577680223142D5B1C8","60",2013-05-20,4000,108.19,3,"3 <= Score <= 5"
"383","08FB3590349860251EE472C","36",2013-10-09,7000,249.39,8,"6 <= Score <= 8"
"393","41123585984657686B77B80","60",2013-08-13,10000,223.41,7,"6 <= Score <= 8"
"395","41263590017496306246D65","60",2013-09-25,15000,390.35,6,"6 <= Score <= 8"
"398","00F73576880451894AC2493","60",2013-04-23,4000,128.65,3,"3 <= Score <= 5"
"399","00F735860185558781B452B","36",2013-08-22,15000,505.34,6,"6 <= Score <= 8"
"417","2C6C35884551371377C74D7","36",2013-10-16,4000,171.45,2,"1 <= Score <= 2"
"419","2C6E3566363828741E4AF45","36",2013-01-08,7000,256.56,6,"6 <= Score <= 8"
"420","2C71357856570789463BB05","36",2013-05-22,4000,172.76,3,"3 <= Score <= 5"
"421","2C7D3580022526634A1961E","36",2013-08-14,9000,340.19,8,"6 <= Score <= 8"
"427","44AC3574355132651FC0EFA","36",2013-03-20,3500,128.28,4,"3 <= Score <= 5"
"432","00F6359071238983063C0BF","36",2013-10-15,3000,104.29,8,"6 <= Score <= 8"
"435","01043580087553342D9A449","60",2013-06-17,3500,72.13,10,"Score >= 9"
"440","098135838089378457F5701","60",2013-08-21,7000,167.23,5,"3 <= Score <= 5"
"443","09AD35918712001025AC1BD","36",2013-12-23,5000,177.89,3,"3 <= Score <= 5"
"445","09CD3592594126374FB0A7C","36",2013-12-16,25000,917.03,4,"3 <= Score <= 5"
"446","09CE359703430815642F6B0","36",2013-12-31,20000,649.01,7,"6 <= Score <= 8"
"447","09E03595831427966EE4111","36",2013-12-12,15000,486.76,9,"Score >= 9"
"454","31AC3591711840431B14DCD","36",2013-10-30,10000,332.1,5,"3 <= Score <= 5"
"459","44CC35929468604657DB75D","60",2013-11-14,7000,187.21,4,"3 <= Score <= 5"
"461","44E73584436289505F20F76","60",2013-07-22,10000,283,3,"3 <= Score <= 5"
"462","44F2358557406858060EBDE","60",2013-10-08,15000,369.57,6,"6 <= Score <= 8"
"463","44FA357293896634887CCF5","60",2013-03-15,16000,387.31,5,"3 <= Score <= 5"
"464","44FB3579057138259A03111","60",2013-05-23,10000,225.95,9,"Score >= 9"
"468","09A1359398277283048E523","36",2013-11-25,3600,134.62,5,"3 <= Score <= 5"
"473","09BC3596895711964C4ABA8","36",2013-12-20,4000,144.51,4,"3 <= Score <= 5"
"475","013E3570006582421416CAD","36",2013-02-08,6000,187.99,10,"Score >= 9"
"480","010235774885928177EC84F","36",2013-05-15,18000,667.02,3,"3 <= Score <= 5"
"482","01093596650895777AF7A70","36",2013-12-04,20000,686.96,4,"3 <= Score <= 5"
"484","31D335889396146095E1939","60",2013-09-13,21000,550.55,4,"3 <= Score <= 5"
"485","31D635736176096575DEC4F","60",2013-04-19,15000,358.35,4,"3 <= Score <= 5"
"486","31D83590275423037547EB1","60",2013-10-11,15000,393.25,4,"3 <= Score <= 5"
"493","450935699054612586A8915","12",2013-02-20,4000,354.96,7,"6 <= Score <= 8"
"497","450F3573988257953846D1B","36",2013-04-11,3000,121.5,3,"3 <= Score <= 5"
"503","08A5359196612924149CC06","36",2013-11-08,19000,612.18,10,"Score >= 9"
"504","08A835786714147167F13DD","36",2013-05-09,10000,351.52,5,"3 <= Score <= 5"
"505","08C1357017318038085E85C","36",2013-02-06,13000,428.87,8,"6 <= Score <= 8"
"506","08C23597271580745A1CB87","36",2013-12-11,8000,278.7,2,"1 <= Score <= 2"
"510","090635932520782700637A9","36",2013-11-19,13000,422.53,10,"Score >= 9"
"511","010B359028658334976D418","60",2013-09-20,6500,183.61,4,"3 <= Score <= 5"
"512","009035862344167279EDC72","36",2013-08-06,2500,87.39,4,"3 <= Score <= 5"
"514","009D3584881012181C31459","36",2013-08-08,8000,311.6,4,"3 <= Score <= 5"
"515","00A53585009591879980184","36",2013-07-26,5000,163.43,8,"6 <= Score <= 8"
"516","00A7356976725157427DA22","60",2013-02-12,5000,104.98,10,"Score >= 9"
"518","00C43572792905796C576B5","60",2013-02-28,4200,91.3,9,"Score >= 9"
"525","32353595979224645CF82D3","60",2013-12-16,15000,423.2,4,"3 <= Score <= 5"
"531","3BC5359241249799953BB4B","36",2013-11-01,2000,69.82,7,"6 <= Score <= 8"
"535","3BE835801695340942E82D5","36",2013-06-05,3500,144.51,2,"1 <= Score <= 2"
"541","454F359502858630924B82C","36",2013-11-19,15000,537.03,8,"6 <= Score <= 8"
"543","4562359675490347919BF37","36",2013-12-16,15000,547.95,3,"3 <= Score <= 5"
"545","457F3586546206267131E78","36",2013-08-30,4000,130.75,7,"6 <= Score <= 8"
"548","09283582852032408EF76AC","36",2013-07-15,13000,459.55,7,"6 <= Score <= 8"
"549","092C3579889857066D15119","36",2013-05-20,4000,155.8,4,"3 <= Score <= 5"
"553","094E35930348866831EFBEB","36",2013-11-08,15000,560.9,4,"3 <= Score <= 5"
"555","091B3596837609725239239","60",2013-12-23,20000,406.39,11,"Score >= 9"
"557","00B13590232912622E53BFD","36",2013-10-04,10000,400.19,4,"3 <= Score <= 5"
"558","00C43588253423093297670","36",2013-08-29,12000,413.58,4,"3 <= Score <= 5"
"561","00E83596797497784E91B80","36",2013-12-20,10000,335.69,6,"6 <= Score <= 8"
"562","00E9357631185472594BC5A","36",2013-04-10,3200,122.19,2,"1 <= Score <= 2"
"566","32563595673920080D07C8A","60",2013-11-27,10000,278.18,4,"3 <= Score <= 5"
"576","3C0735689465562535178E3","60",2013-01-17,2100,67.45,6,"6 <= Score <= 8"
"579","3C203595510064820A17C28","36",2013-12-11,2000,66.8,9,"Score >= 9"
"581","3C3235898482077791E21B8","36",2013-09-24,3000,122.46,2,"1 <= Score <= 2"
"582","459A3595913137628DA21D6","36",2013-12-26,4000,146.73,5,"3 <= Score <= 5"
"584","45A535957941658379C6031","36",2013-11-26,8000,287.62,4,"3 <= Score <= 5"
"588","45AF3570274605932486410","36",2013-02-28,10850,422.59,4,"3 <= Score <= 5"
"593","091E3582443770619D70A09","60",2013-07-05,20000,561.97,4,"3 <= Score <= 5"
"594","091E3598550637223643B05","60",2013-12-27,15000,392.42,4,"3 <= Score <= 5"
"596","0941359794753635521DE17","60",2013-12-23,10000,234.5,6,"6 <= Score <= 8"
"603","3C4E3570028573467FCB767","60",2013-02-19,6000,178.9,4,"3 <= Score <= 5"
"604","3C4E358385462445476C05C","36",2013-07-10,4000,160.44,2,"1 <= Score <= 2"
"607","3C6C357164641405815A03A","36",2013-03-11,5000,157.81,10,"Score >= 9"
"611","00DA35941477580587105C2","60",2013-11-07,15000,369.57,7,"6 <= Score <= 8"
"613","00E6359053237781818B112","60",2013-10-09,4000,120.45,3,"3 <= Score <= 5"
"615","00F13595573075690B0E973","36",2013-11-27,15000,555.16,4,"3 <= Score <= 5"
"617","32783591225843246C648CA","36",2013-10-10,14000,455.03,5,"3 <= Score <= 5"
"619","327F3584359814679FEC75A","36",2013-07-30,7000,272.65,3,"3 <= Score <= 5"
"621","2C7535810689336884BCEFD","36",2013-06-28,4000,149.65,3,"3 <= Score <= 5"
"623","2C7B3586796427455CA497C","60",2013-08-20,20000,441.76,7,"6 <= Score <= 8"
"630","45E635920357007412F3FC8","36",2013-10-16,15000,495.28,3,"3 <= Score <= 5"
"631","45F33587466842667C8DA28","36",2013-09-11,10000,360.22,4,"3 <= Score <= 5"
"634","07FB35970598962377DCEA7","36",2013-12-19,30000,966.61,11,"Score >= 9"
"638","082935799639007458EBFA9","36",2013-06-03,35000,1223.42,6,"6 <= Score <= 8"
"640","08313592195459979BADE99","60",2013-10-21,4000,127.58,3,"3 <= Score <= 5"
"642","08BB35960689383354F3E10","36",2013-12-06,15000,541.91,7,"6 <= Score <= 8"
"643","3C7035759111193830D688B","36",2013-04-29,11000,339.6,10,"Score >= 9"
"644","3C7A3594594597397BF5EC4","36",2013-12-09,15000,528.84,8,"6 <= Score <= 8"
"647","3CA035926397373063D3C87","60",2013-10-17,15000,398.66,7,"6 <= Score <= 8"
"648","3CAF3580096380178D5C95F","60",2013-05-31,10000,275,5,"3 <= Score <= 5"
"650","3CC035957723511842C5EB2","36",2013-12-13,30000,994.85,9,"Score >= 9"
"654","00E83577552293068E85705","60",2013-06-18,15000,455.52,2,"1 <= Score <= 2"
"658","00FB3596754665887CB691D","36",2013-12-31,15000,531.44,7,"6 <= Score <= 8"
"659","010835817016877113BB4BA","60",2013-07-10,10000,206.08,10,"Score >= 9"
"661","2C8C3578916295740676353","60",2013-06-03,15000,343.91,6,"6 <= Score <= 8"
"662","3731358783860820011760A","36",2013-09-17,6000,197.94,7,"6 <= Score <= 8"
"672","461235965627950776997F2","36",2013-12-06,20000,696.74,4,"3 <= Score <= 5"
"673","461835971297025613CD6E7","36",2013-12-19,4000,142.31,5,"3 <= Score <= 5"
"675","46223584406799302BDBA66","36",2013-07-26,10000,374.14,3,"3 <= Score <= 5"
"677","462935877003282892DD443","36",2013-09-10,15000,467.21,9,"Score >= 9"
"678","08BC3578623464934AD86C5","60",2013-05-28,25000,670.58,4,"3 <= Score <= 5"
"681","08DE3590037836171E38037","36",2013-09-27,3500,148.56,2,"1 <= Score <= 2"
"682","08E73594975919858533B39","36",2013-12-03,15000,545.3,2,"1 <= Score <= 2"
"686","0924358205478141807A91A","60",2013-06-19,10000,238.9,6,"6 <= Score <= 8"
"688","3CD93594836025409102D9C","60",2013-11-26,35000,814.21,10,"Score >= 9"
"691","3CE83593217028064B104AB","60",2013-11-07,15000,326.06,11,"Score >= 9"
"692","3CF93578474082698935D49","60",2013-05-09,8000,193.65,5,"3 <= Score <= 5"
"696","01143579379327257C07C5A","36",2013-06-10,15000,486.41,6,"6 <= Score <= 8"
"697","008D358112169045235022D","60",2013-06-26,15000,363.1,6,"6 <= Score <= 8"
"700","00C335828766489310EED7F","36",2013-07-17,5000,176.75,5,"3 <= Score <= 5"
"701","00C335965103996181EB7B4","36",2013-12-11,15000,528.84,2,"1 <= Score <= 2"
"702","00C43579430889047256108","60",2013-05-28,15000,382.45,5,"3 <= Score <= 5"
"706","37583595191788231ED59F8","36",2013-12-02,5000,185.05,4,"3 <= Score <= 5"
"708","375D356964807654052BE85","36",2013-02-11,15000,566.98,3,"3 <= Score <= 5"
"709","37663595165024584AD87FE","36",2013-12-17,10000,329.24,6,"6 <= Score <= 8"
"713","46383592547065992AEA195","60",2013-10-23,20000,534.9,7,"6 <= Score <= 8"
"716","464C3593326169407A7975F","60",2013-11-05,20000,481.06,6,"6 <= Score <= 8"
"719","46553580674004427432D1D","36",2013-07-02,10000,347.09,6,"6 <= Score <= 8"
"724","09433596829618389465013","36",2013-12-31,4000,130.94,8,"6 <= Score <= 8"
"732","3D3A3597593544903D471E7","60",2013-12-13,10000,252.03,4,"3 <= Score <= 5"
"734","3D4C3596419441986113B75","60",2013-11-27,20000,472.13,5,"3 <= Score <= 5"
"735","3D5035942376267849BC5EB","36",2013-11-22,4000,161.67,2,"1 <= Score <= 2"
"739","31223589367070555E72A99","36",2013-09-11,25000,830.72,8,"6 <= Score <= 8"
"741","312935795010794151E52F9","36",2013-05-29,15000,516.97,6,"6 <= Score <= 8"
"742","3139359682313671884930D","60",2013-12-30,14000,366.26,4,"3 <= Score <= 5"
"743","313C3587994620894E05733","36",2013-09-06,4000,125.33,8,"6 <= Score <= 8"
"747","00CC358980075941060AB4D","60",2013-10-07,7000,188.78,6,"6 <= Score <= 8"
"749","00ED357299095876033730A","36",2013-03-28,4000,155.8,4,"3 <= Score <= 5"
"751","00FE35729553959812189BF","36",2013-03-25,10000,358.22,6,"6 <= Score <= 8"
"753","01133583100556270E8313B","36",2013-07-19,3500,117.91,7,"6 <= Score <= 8"
"757","466635953391540229706F5","60",2013-11-27,4950,133.5,5,"3 <= Score <= 5"
"760","467F35873058987824C966F","36",2013-10-08,11000,393.82,3,"3 <= Score <= 5"
"762","46893577997388346DED563","60",2013-06-10,11500,268.72,6,"6 <= Score <= 8"
"764","0A803594407124987F25A9F","60",2013-11-25,15000,345.07,8,"6 <= Score <= 8"
"766","0A883595605120998B2479B","60",2013-12-05,15000,342.37,11,"Score >= 9"
"768","09DD3585773442840EDA727","60",2013-08-20,7000,154.62,10,"Score >= 9"
"771","3D6035919831193329B2613","36",2013-10-30,15000,480.42,9,"Score >= 9"
"772","3D6435937004844127FA1D1","36",2013-11-21,19000,601.46,11,"Score >= 9"
"774","3D783597379918965D759B9","36",2013-12-31,6000,193.32,6,"6 <= Score <= 8"
"775","3D7C3590502800659746A5A","60",2013-10-04,15500,360.58,9,"Score >= 9"
"776","3D833586292505448DF4633","60",2013-08-23,10000,229.28,8,"6 <= Score <= 8"
"784","319F3582805598621B8DC2A","60",2013-07-17,10000,268.23,4,"3 <= Score <= 5"
"787","31B03593571025138646A7D","60",2013-11-19,26000,616.49,10,"Score >= 9"
"788","31D03572218562445845254","60",2013-03-08,10000,298.16,4,"3 <= Score <= 5"
"794","00DF359002447030629EBFC","60",2013-10-01,10000,248.26,7,"6 <= Score <= 8"
"799","02403581116097513559204","60",2013-07-05,16000,397.56,6,"6 <= Score <= 8"
"800","0246359039060213719C861","36",2013-09-20,12000,398.51,8,"6 <= Score <= 8"
"802","0251357580133382127582B","36",2013-04-12,4000,172.76,2,"1 <= Score <= 2"
"809","469C35808989156865C2584","36",2013-06-17,3000,109.95,4,"3 <= Score <= 5"
"812","46B53596376130207447016","36",2013-12-17,4000,161.67,2,"1 <= Score <= 2"
"813","46B73585299997091CE37FD","36",2013-10-17,10000,336.89,7,"6 <= Score <= 8"
"815","46C03582500205342C0CAC3","36",2013-06-26,3000,93.44,8,"6 <= Score <= 8"
"818","0A02358556942651029F36A","60",2013-08-16,25000,630.63,5,"3 <= Score <= 5"
"823","0A733586239476620EE18FC","36",2013-08-05,6000,233.7,4,"3 <= Score <= 5"
"826","3DA5358716113542125CAF4","60",2013-08-16,10000,285.3,3,"3 <= Score <= 5"
"830","3DB73587089046542FF0BEB","36",2013-09-09,8000,275.72,4,"3 <= Score <= 5"
"833","3DC73596916887630ABFB0A","36",2013-12-16,15000,547.95,4,"3 <= Score <= 5"
"834","31D735859703219242BEB59","36",2013-08-21,4000,160.44,2,"1 <= Score <= 2"
"838","31E73581821737306240B83","36",2013-06-21,20000,673.78,7,"6 <= Score <= 8"
"839","31E93595953037528D87469","36",2013-12-13,12000,438.36,4,"3 <= Score <= 5"
"841","32033590212151851A3D02B","60",2013-10-17,25000,597.38,8,"6 <= Score <= 8"
"842","32073594921105194F1658D","36",2013-11-18,10000,314.24,8,"6 <= Score <= 8"
"845","02C13593990735104291C76","36",2013-11-13,25000,926.54,4,"3 <= Score <= 5"
"846","02CB358366769768695629D","60",2013-07-26,10000,220.88,9,"Score >= 9"
"849","02DA3594616186472FD6517","60",2013-11-19,15000,429.69,4,"3 <= Score <= 5"
"852","46C93595246358103A47399","60",2013-12-09,2500,61.93,6,"6 <= Score <= 8"
"855","46DB3596355549260D55E24","60",2013-12-20,15000,336.63,11,"Score >= 9"
"857","46E035794581815445D307D","36",2013-05-21,4000,139.82,6,"6 <= Score <= 8"
"858","46E935897167053747AEF5C","36",2013-09-20,3000,111.19,5,"3 <= Score <= 5"
"861","0A7835764377406578AABF7","36",2013-04-23,7000,237.85,6,"6 <= Score <= 8"
"868","0ABE3579585608062D883B9","36",2013-05-22,9500,337.71,6,"6 <= Score <= 8"
"870","470235808723763465219A6","36",2013-07-01,4000,158.87,3,"3 <= Score <= 5"
"871","47033597033829240D7BD54","36",2013-12-13,7000,291.44,2,"1 <= Score <= 2"
"873","471235722876732763CF73C","60",2013-02-28,3100,77.03,5,"3 <= Score <= 5"
"875","43A13595931448729EE8EB4","60",2013-12-24,4000,105.31,4,"3 <= Score <= 5"
"876","43A235899245715998F9C33","60",2013-09-23,15000,352.14,5,"3 <= Score <= 5"
"878","3DCB3567405478720A365B0","36",2013-01-29,13000,421.55,9,"Score >= 9"
"885","3E173579297454629E210E2","36",2013-06-04,15000,530.25,4,"3 <= Score <= 5"
"887","3209358640080067053EFF0","60",2013-08-28,4000,115.82,4,"3 <= Score <= 5"
"888","3211359511341783439C232","36",2013-12-03,7500,250.51,4,"3 <= Score <= 5"
"892","322C358658702034473ACD6","60",2013-08-08,15000,326.06,7,"6 <= Score <= 8"
"893","32373570011011359E21263","36",2013-02-01,20000,703.04,6,"6 <= Score <= 8"
"895","0AC03594511677567B70AAB","36",2013-11-15,3600,126.92,5,"3 <= Score <= 5"
"900","0AFC3569081514462B77ABE","60",2013-02-08,20000,513,7,"6 <= Score <= 8"
"902","0A8F3595201741766C09C95","60",2013-12-05,23695,519.81,11,"Score >= 9"
"904","023035937561777024814A4","60",2013-11-19,15000,398.66,4,"3 <= Score <= 5"
"907","02563583917251585C2CB97","60",2013-07-15,4000,123,3,"3 <= Score <= 5"
"910","0274359078249392348BD7C","36",2013-10-28,4000,171.45,3,"3 <= Score <= 5"
"911","0277358959970515810F4B3","36",2013-09-10,5000,198.59,3,"3 <= Score <= 5"
"915","7A4435896330679201276DF","36",2013-09-18,10000,325.02,8,"6 <= Score <= 8"
"925","3E30359327847914691F941","36",2013-11-25,10000,336.89,5,"3 <= Score <= 5"
"927","3E383595280398424522BAA","36",2013-12-17,13000,460.58,4,"3 <= Score <= 5"
"930","3E4235923169526228C4006","36",2013-10-29,3000,121.34,2,"1 <= Score <= 2"
"933","3E4E3583344469470299F53","60",2013-07-18,10000,272.73,4,"3 <= Score <= 5"
