"","ListingKey","Term","LoanOriginationDate","LoanOriginalAmount","MonthlyLoanPayment","ProsperScore","ProsperRisk","LoanOriginalAmount_bins"
"1972","542135768687181466AB77D","60",2013-05-09,6000,182.21,2,"1 <= Score <= 2","5K-9.9K"
"1973","54253591475644005A1085D","36",2013-10-15,4000,135.72,11,"Score >= 9","0K-4.9K"
"1975","543435739176366011480D4","60",2013-03-19,3500,113.93,2,"1 <= Score <= 2","0K-4.9K"
"1999","0AED356976344765257C555","36",2013-02-11,2000,66.46,9,"Score >= 9","0K-4.9K"
"2016","6338359069242703942DED9","36",2013-09-30,7500,263.12,10,"Score >= 9","5K-9.9K"
"2049","0BBA35970395345349717E3","36",2013-12-11,13000,402.35,11,"Score >= 9","10K-14.9K"
"2132","4C3835785179076943109CD","36",2013-05-22,8000,252.5,9,"Score >= 9","5K-9.9K"
"2213","3B303581685496143E635F8","36",2013-06-26,15000,482.18,9,"Score >= 9","10K-14.9K"
"2234","0C4035835793338304CED81","36",2013-08-23,8000,246.98,10,"Score >= 9","5K-9.9K"
"2252","4CA035937805539665AB1F4","36",2013-11-18,5000,160.14,10,"Score >= 9","0K-4.9K"
"2270","3B563595030341106671374","60",2013-11-19,10000,301.12,2,"1 <= Score <= 2","5K-9.9K"
"2284","75FF3594114841087A6686D","36",2013-11-13,15000,526.25,9,"Score >= 9","10K-14.9K"
"2360","0BF93596150076969336339","36",2013-12-05,15000,509.39,9,"Score >= 9","10K-14.9K"
"2488","04C63595369815186D0A35C","36",2013-12-09,15000,456.67,11,"Score >= 9","10K-14.9K"
"2508","45FA3584169788286998BA1","36",2013-08-02,15000,469.98,9,"Score >= 9","10K-14.9K"
"2535","2D0C3575435749652AD280A","36",2013-04-03,3700,115.93,10,"Score >= 9","0K-4.9K"
"2551","04683590462291306D9A726","36",2013-09-27,12000,368.28,11,"Score >= 9","10K-14.9K"
"2559","41323581230822173250B2E","60",2013-06-18,4000,130.2,2,"1 <= Score <= 2","0K-4.9K"
"2569","477335787563259284F7E23","60",2013-05-30,15000,455.52,2,"1 <= Score <= 2","10K-14.9K"
"2589","7B2135954957368405637BD","36",2013-11-19,4000,134.76,9,"Score >= 9","0K-4.9K"
"2663","0C433574404322955869F13","60",2013-04-15,10000,289.54,2,"1 <= Score <= 2","5K-9.9K"
"2691","5EE73586195385855D80401","36",2013-08-16,9000,289.31,9,"Score >= 9","5K-9.9K"
"2715","426B3593255173549AF8560","36",2013-10-25,6000,196.4,9,"Score >= 9","5K-9.9K"
"2744","5EED359588240040376A4AE","36",2013-12-13,15000,517.41,9,"Score >= 9","10K-14.9K"
"2751","74183595311651794ECBE5A","36",2013-12-13,15000,486.76,9,"Score >= 9","10K-14.9K"
"2866","04AB35830445880986DEAB7","60",2013-07-12,4000,131.78,2,"1 <= Score <= 2","0K-4.9K"
"2878","4B453581418712617019A84","36",2013-07-30,2000,62.3,10,"Score >= 9","0K-4.9K"
"2897","408135848754355511C9ABF","36",2013-08-01,11000,367.94,9,"Score >= 9","10K-14.9K"
"2899","408F3591828661735BBF548","36",2013-10-17,7000,231.13,9,"Score >= 9","5K-9.9K"
"2951","8DCD35879741875549B06A2","36",2013-08-23,4000,130.75,9,"Score >= 9","0K-4.9K"
"2963","42B33571930836742B95F08","60",2013-02-21,11500,321.49,2,"1 <= Score <= 2","10K-14.9K"
"3002","506F3585665723919213A3E","36",2013-08-09,5000,174.77,10,"Score >= 9","0K-4.9K"
"3007","8DE23594024973866D2D6ED","36",2013-11-12,5000,163.67,11,"Score >= 9","0K-4.9K"
"3017","0CE1359164112622792210A","36",2013-10-22,3500,124.7,9,"Score >= 9","0K-4.9K"
"3053","770135828462195405D9CE6","60",2013-07-01,4000,121.47,2,"1 <= Score <= 2","0K-4.9K"
"3066","50C635926278133787EE141","60",2013-12-30,2000,52.65,2,"1 <= Score <= 2","0K-4.9K"
"3068","50CD359699053569857EFE1","36",2013-12-19,15000,464.25,11,"Score >= 9","10K-14.9K"
"3092","49113593605747937FCA452","36",2013-11-22,12000,365.34,11,"Score >= 9","10K-14.9K"
"3115","68753588261531574C1BED7","36",2013-11-08,2500,84.83,10,"Score >= 9","0K-4.9K"
"3162","28DF358482348358998DDD9","36",2013-07-24,3000,99.69,10,"Score >= 9","0K-4.9K"
"3181","69D63570458675764F31CF2","60",2013-03-14,4000,126.04,2,"1 <= Score <= 2","0K-4.9K"
"3233","051C3595314398821CA257E","36",2013-11-18,15000,501.73,10,"Score >= 9","10K-14.9K"
"3326","8AF53574892202049B6DC62","36",2013-04-23,9000,289.31,9,"Score >= 9","5K-9.9K"
"3328","8B053579777675369E22BCC","36",2013-06-21,12000,370.47,10,"Score >= 9","10K-14.9K"
"3357","05823588774636539638EE7","36",2013-09-18,11000,385.91,11,"Score >= 9","10K-14.9K"
"3397","556C359618868284691131C","36",2013-12-27,15000,470.67,10,"Score >= 9","10K-14.9K"
"3475","0D16359072947892575D931","36",2013-10-11,10000,325.02,11,"Score >= 9","5K-9.9K"
"3493","422435691914487111A312E","60",2013-01-17,4000,126.85,2,"1 <= Score <= 2","0K-4.9K"
"3520","78193591017270961FF7FB3","36",2013-09-26,6000,182.67,11,"Score >= 9","5K-9.9K"
"3529","2C6B3597605031395BB6657","36",2013-12-20,12600,417.84,9,"Score >= 9","10K-14.9K"
"3576","8BCE3591129883361B876AC","36",2013-10-11,8500,292.16,9,"Score >= 9","5K-9.9K"
"3585","86A93580314250614026F64","36",2013-05-28,2000,62.3,10,"Score >= 9","0K-4.9K"
"3598","69353576970002557F1E206","60",2013-04-17,4000,130.2,2,"1 <= Score <= 2","0K-4.9K"
"3610","294D3568762420736613402","36",2013-02-22,2000,64.29,9,"Score >= 9","0K-4.9K"
"3648","4AB035984412223256F863A","60",2013-12-31,10000,265.5,2,"1 <= Score <= 2","5K-9.9K"
"3744","2D0E35964338772330232FC","36",2013-12-19,6000,194.7,10,"Score >= 9","5K-9.9K"
"3762","06D33590755144004182E78","60",2013-10-22,15000,401.17,2,"1 <= Score <= 2","10K-14.9K"
"3800","57C935801885219280C5B78","60",2013-06-05,4000,130.2,2,"1 <= Score <= 2","0K-4.9K"
"3803","6AAE3594640630460C267A1","36",2013-11-15,9000,280.62,11,"Score >= 9","5K-9.9K"
"3825","06063572302681469D3F008","36",2013-03-12,6000,189.38,10,"Score >= 9","5K-9.9K"
"4069","0CB33589592608698BDF5C2","36",2013-09-19,15000,505.34,11,"Score >= 9","10K-14.9K"
"4208","0E403595980863942102A12","36",2013-12-03,7000,233.81,9,"Score >= 9","5K-9.9K"
"4252","820F35913302656793B3AED","36",2013-11-01,8000,251.39,9,"Score >= 9","5K-9.9K"
"4260","496D359724497963439DCB5","36",2013-12-23,10000,311.94,9,"Score >= 9","5K-9.9K"
"4262","49763572028604536BFE4CB","60",2013-03-12,10000,289.54,2,"1 <= Score <= 2","5K-9.9K"
"4263","061B359672892932934155A","60",2013-12-24,7500,208.64,2,"1 <= Score <= 2","5K-9.9K"
"4309","9D4E35983696252280835A8","36",2013-12-30,12000,397.94,9,"Score >= 9","10K-14.9K"
"4377","9E7F358099000219294D5C8","60",2013-06-11,4000,127.36,2,"1 <= Score <= 2","0K-4.9K"
"4404","69E635832469646449139B7","36",2013-08-27,11000,334.84,10,"Score >= 9","10K-14.9K"
"4449","8735359504682273477C9E6","36",2013-11-19,11500,364.04,10,"Score >= 9","10K-14.9K"
"4459","0F9C3567780828417631AA9","36",2013-01-15,2001,62.6,10,"Score >= 9","0K-4.9K"
"4537","302C35941770254933AC1A8","36",2013-11-18,15000,463.09,10,"Score >= 9","10K-14.9K"
"4562","4A2B35684106690818B4DAF","36",2013-01-30,10000,332.29,9,"Score >= 9","5K-9.9K"
"4564","4A3535936306507259E5BB4","36",2013-11-13,10000,327.34,10,"Score >= 9","5K-9.9K"
"4584","41B93596099549626EFCB4E","36",2013-12-17,10000,331.62,9,"Score >= 9","5K-9.9K"
"4585","41BA3593334380238662F40","60",2013-11-07,10000,291.7,2,"1 <= Score <= 2","5K-9.9K"
"4632","4A4E35950803329858AD109","36",2013-12-03,13620,414.66,11,"Score >= 9","10K-14.9K"
"4648","98D33568077692272F84948","60",2013-01-09,10000,312.99,2,"1 <= Score <= 2","5K-9.9K"
"4680","98EA3580272737998CC3DAE","36",2013-09-12,10000,326.87,10,"Score >= 9","5K-9.9K"
"4690","A0143593900139463F683FF","36",2013-11-19,5000,165.09,11,"Score >= 9","0K-4.9K"
"4744","0F983567514841264CD83A5","60",2013-01-16,4000,133.5,2,"1 <= Score <= 2","0K-4.9K"
"4795","4AE835916729190870D3845","36",2013-10-15,10500,327.39,10,"Score >= 9","10K-14.9K"
"4811","07363585167267430A1232C","36",2013-08-23,15000,456.6,10,"Score >= 9","10K-14.9K"
"4840","A07A3571934373852C17188","36",2013-02-20,10000,368.54,9,"Score >= 9","5K-9.9K"
"4885","0638358671714124617B67E","36",2013-08-20,3300,102.79,10,"Score >= 9","0K-4.9K"
"5001","2C5F3591149672473D3B286","36",2013-10-15,10000,352.56,10,"Score >= 9","5K-9.9K"
"5002","2C7135933798841402F44F4","36",2013-11-06,5000,161.1,9,"Score >= 9","0K-4.9K"
"5033","07393572605213129147F1D","60",2013-03-13,4000,130.2,2,"1 <= Score <= 2","0K-4.9K"
"5165","40C335928118614533355FE","36",2013-11-19,7000,229.14,10,"Score >= 9","5K-9.9K"
"5190","0F41359673619303387D1AD","36",2013-12-26,15000,526.25,9,"Score >= 9","10K-14.9K"
"5195","4CD835734308579736CD13C","36",2013-03-18,3500,112.51,9,"Score >= 9","0K-4.9K"
"5306","8A3E35884465983687F437E","36",2013-08-30,2000,61.75,10,"Score >= 9","0K-4.9K"
"5309","2D3635933143497636D85C6","36",2013-10-31,14000,451.08,9,"Score >= 9","10K-14.9K"
"5354","07F135947280263778EED49","36",2013-11-18,10000,304.45,11,"Score >= 9","5K-9.9K"
"5357","07FE3595382760566DD8DFF","36",2013-12-05,15000,497.43,9,"Score >= 9","10K-14.9K"
"5392","31A1359221376397048BFB5","36",2013-10-24,2000,65.47,11,"Score >= 9","0K-4.9K"
"5394","3951359191773980092D514","36",2013-11-01,15000,474.83,9,"Score >= 9","10K-14.9K"
"5520","920F35791715254055FDF64","36",2013-06-07,15000,467.21,10,"Score >= 9","10K-14.9K"
"5561","62173586477250903CEF552","60",2013-08-13,10000,289.54,2,"1 <= Score <= 2","5K-9.9K"
"5589","923C3582789504160D16E86","36",2013-06-25,10000,315.63,9,"Score >= 9","5K-9.9K"
"5602","3224358876907482247A524","60",2013-09-20,15000,429.69,2,"1 <= Score <= 2","10K-14.9K"
"5637","779A3594636925941F385DE","36",2013-11-15,15000,474.83,11,"Score >= 9","10K-14.9K"
"5684","3A5C35708729080851B2D0E","60",2013-02-20,4000,126.04,2,"1 <= Score <= 2","0K-4.9K"
"5737","948B3592948532146742586","36",2013-11-26,15000,471.36,9,"Score >= 9","10K-14.9K"
"5816","94C33574944235924305CC3","60",2013-04-15,15000,461.26,2,"1 <= Score <= 2","10K-14.9K"
"5826","2E1D3578355987167C1253A","60",2013-05-10,10000,303.68,2,"1 <= Score <= 2","5K-9.9K"
"5838","9A3335664879889618FE9CD","60",2013-01-15,10000,296.86,2,"1 <= Score <= 2","5K-9.9K"
"5930","10043591218993696E7A1FE","36",2013-11-06,3300,107.26,11,"Score >= 9","0K-4.9K"
"5960","95253569631471302F69FD7","36",2013-04-08,15000,473.44,10,"Score >= 9","10K-14.9K"
"6012","086A3597875394675607905","60",2013-12-20,10000,246.11,2,"1 <= Score <= 2","5K-9.9K"
"6029","957035730042811683F62AD","60",2013-03-14,10000,279.55,2,"1 <= Score <= 2","5K-9.9K"
"6048","4E5B35934205542306E233F","36",2013-11-14,4000,121.78,11,"Score >= 9","0K-4.9K"
"6049","4E623574145316832FA4A7C","60",2013-04-05,9000,260.59,2,"1 <= Score <= 2","5K-9.9K"
"6064","4BBF3578361424547FF700B","36",2013-05-07,3200,99.67,10,"Score >= 9","0K-4.9K"
"6075","1185357974097974503D06D","60",2013-06-03,4000,128.65,2,"1 <= Score <= 2","0K-4.9K"
"6080","08463596661822865402B96","36",2013-12-16,2000,67.14,9,"Score >= 9","0K-4.9K"
"6102","95C3359137956535179854D","36",2013-11-07,8500,258.78,11,"Score >= 9","5K-9.9K"
"6106","32BB3572642536521A8809D","60",2013-03-12,15000,427.96,2,"1 <= Score <= 2","10K-14.9K"
"6173","32DF35866138043829D357A","36",2013-08-20,8000,252.5,10,"Score >= 9","5K-9.9K"
"6197","969B3592111857458313EEC","36",2013-10-31,15000,467.7,11,"Score >= 9","10K-14.9K"
"6199","9C40357543101360225F88B","36",2013-04-09,9000,289.31,10,"Score >= 9","5K-9.9K"
"6219","085C3589998498267FA882C","36",2013-09-24,4000,124.72,10,"Score >= 9","0K-4.9K"
"6230","08E4359647742783604536C","36",2013-12-27,8500,281.88,10,"Score >= 9","5K-9.9K"
"6275","96DE3582072788648A5B9E2","36",2013-06-20,14000,441.88,9,"Score >= 9","10K-14.9K"
"6313","09273595416123216F8E992","36",2013-11-27,9300,290.1,10,"Score >= 9","5K-9.9K"
"6382","08AF3596661756639670C3C","36",2013-12-20,5000,167,9,"Score >= 9","0K-4.9K"
"6418","5A623580261650182B47863","60",2013-06-10,4000,131.78,2,"1 <= Score <= 2","0K-4.9K"
"6431","4CAD359496449318973D4EF","36",2013-11-20,2000,61.38,11,"Score >= 9","0K-4.9K"
"6446","085F35908944730130FDEF8","36",2013-11-20,10000,339.3,9,"Score >= 9","5K-9.9K"
"6482","5A6835959368740809686E8","36",2013-12-23,12500,386.88,11,"Score >= 9","10K-14.9K"
"6493","9D3E3588885890501CFAA5A","60",2013-09-05,4000,128.65,2,"1 <= Score <= 2","0K-4.9K"
"6583","0084359069077996907F87F","36",2013-10-10,3000,99.63,9,"Score >= 9","0K-4.9K"
"6587","A1A735985381101725692EC","36",2013-12-23,5000,158.51,10,"Score >= 9","0K-4.9K"
"6674","2F5F35965983319137EC580","36",2013-12-06,3500,113.58,10,"Score >= 9","0K-4.9K"
"6721","669E3598025191708A6B553","36",2013-12-30,9000,311.99,10,"Score >= 9","5K-9.9K"
"6900","6BA33592992753675EB06E3","36",2013-11-12,3000,91.33,11,"Score >= 9","0K-4.9K"
"6936","8C25356823810433129B005","36",2013-01-31,14500,456.99,10,"Score >= 9","10K-14.9K"
"6948","085335758098728598C48B8","60",2013-04-04,4000,127.36,2,"1 <= Score <= 2","0K-4.9K"
"7007","5DAC3589845559382CF22DE","36",2013-09-30,6000,196.4,9,"Score >= 9","5K-9.9K"
"7069","5A2335886460356820E565E","36",2013-09-23,3000,96.08,10,"Score >= 9","0K-4.9K"
"7071","7D1C3591583889367D0281F","36",2013-10-04,2000,64.44,11,"Score >= 9","0K-4.9K"
"7082","30A3358350744735414A2B7","36",2013-07-08,3000,97.28,9,"Score >= 9","0K-4.9K"
"7086","30CD35843113612694C4325","36",2013-08-01,10000,315.63,10,"Score >= 9","5K-9.9K"
"7090","3DEF35970857894025E181B","36",2013-12-06,5500,182.39,10,"Score >= 9","5K-9.9K"
"7110","09D63593410168400FB7F06","36",2013-11-27,12000,365.34,11,"Score >= 9","10K-14.9K"
"7116","A36B359697275730781CCCA","36",2013-12-19,5000,164.62,11,"Score >= 9","0K-4.9K"
"7120","A0A23578335128498C0ECEC","36",2013-05-23,3000,94.69,10,"Score >= 9","0K-4.9K"
"7143","ED40358373172105298ED42","36",2013-08-07,5000,157.81,9,"Score >= 9","0K-4.9K"
"7172","78E035923864415183DB650","36",2013-11-05,15000,456.67,11,"Score >= 9","10K-14.9K"
"7176","518A35968212784260789F7","36",2013-12-11,8000,259.6,10,"Score >= 9","5K-9.9K"
"7274","0A2C35856694418794774CF","60",2013-10-24,10000,282.48,2,"1 <= Score <= 2","5K-9.9K"
"7309","CFA135853972609312AB586","60",2013-08-02,4000,117.55,2,"1 <= Score <= 2","0K-4.9K"
"7494","63553587374531613DB6088","36",2013-09-09,15000,473.44,9,"Score >= 9","10K-14.9K"
"7508","6E2235726043261782D604F","60",2013-03-18,4000,126.04,2,"1 <= Score <= 2","0K-4.9K"
"7511","7D093596273721774E32E63","36",2013-12-18,2000,66.32,10,"Score >= 9","0K-4.9K"
"7542","09BC358704031308425C955","60",2013-08-29,4000,121.47,2,"1 <= Score <= 2","0K-4.9K"
"7576","68B63593101084123AF3F95","60",2013-10-23,10000,269.69,2,"1 <= Score <= 2","5K-9.9K"
"7597","A3843569631193235A16937","36",2013-05-06,10000,315.63,10,"Score >= 9","5K-9.9K"
"7599","55823571152993672635676","36",2013-02-20,6000,197.94,10,"Score >= 9","5K-9.9K"
"7698","088835908258524155C259B","36",2013-10-16,11500,364.04,10,"Score >= 9","10K-14.9K"
"7726","028635922029170005D9F34","60",2013-10-10,15000,372.39,2,"1 <= Score <= 2","10K-14.9K"
"7744","3E8E3583010082931744864","36",2013-07-26,15000,473.44,9,"Score >= 9","10K-14.9K"
"7756","A3C035895460320955C468A","36",2013-09-27,9000,289.98,9,"Score >= 9","5K-9.9K"
"7829","09853595661222791A6380F","36",2013-11-26,3500,117.91,9,"Score >= 9","0K-4.9K"
"7830","09903594926774451EA33B2","36",2013-11-29,6500,218.2,9,"Score >= 9","5K-9.9K"
"7860","563A3579769623689815541","36",2013-05-22,15000,498.43,10,"Score >= 9","10K-14.9K"
"7865","9B93357623549105324E0EF","36",2013-04-18,15000,490.3,10,"Score >= 9","10K-14.9K"
"7949","8ED63583666626197768E55","36",2013-07-19,15000,473.44,9,"Score >= 9","10K-14.9K"
"7967","023A3597869367793E781AC","36",2013-12-30,15000,475.53,10,"Score >= 9","10K-14.9K"
"7970","01C33575199951183B08A36","60",2013-04-09,4000,126.04,2,"1 <= Score <= 2","0K-4.9K"
"7998","5A8735935039325202FAB28","36",2013-11-18,15000,491.01,9,"Score >= 9","10K-14.9K"
"8026","3B723581086799122EAA31E","36",2013-06-20,12500,391.65,9,"Score >= 9","10K-14.9K"
"8114","9E2C3578681499627FD3DAD","60",2013-05-13,4000,130.2,2,"1 <= Score <= 2","0K-4.9K"
"8137","01FE3585591774230FB196B","60",2013-08-02,3000,98.84,2,"1 <= Score <= 2","0K-4.9K"
"8173","3BE1358991888652815D30A","36",2013-10-07,4000,136.69,9,"Score >= 9","0K-4.9K"
"8179","6D123591190934233ADEFB3","36",2013-10-18,9800,320.79,9,"Score >= 9","5K-9.9K"
"8220","2C1B359116657099261DB75","36",2013-10-03,3500,112.77,11,"Score >= 9","0K-4.9K"
"8364","655D3583736159927CB483B","36",2013-07-09,11000,342.62,10,"Score >= 9","10K-14.9K"
"8375","01FE3587240583560D6DF23","36",2013-09-18,13000,399.38,10,"Score >= 9","10K-14.9K"
"8400","9EF73565897257273D6B6B7","60",2013-01-10,4000,130.15,2,"1 <= Score <= 2","0K-4.9K"
"8552","3F753595856657175E9F53A","36",2013-12-16,8200,251.66,9,"Score >= 9","5K-9.9K"
"8781","AACE3574123718216E4D6D2","36",2013-04-05,3500,128.99,9,"Score >= 9","0K-4.9K"
"8783","AAE33578676550853AA3675","36",2013-06-06,10500,331.41,9,"Score >= 9","10K-14.9K"
"8890","E4BA3594595790782E9A35D","36",2013-11-08,15000,545.3,9,"Score >= 9","10K-14.9K"
"8932","35C53586155760962B7B236","36",2013-08-08,15000,456.6,10,"Score >= 9","10K-14.9K"
"8941","5C7635743030784382BB666","36",2013-04-02,15000,482.18,9,"Score >= 9","10K-14.9K"
"9004","D327357034598716509956A","36",2013-05-10,6000,226.02,10,"Score >= 9","5K-9.9K"
"9011","89B53568236141974F211E8","36",2013-01-15,3500,116.3,9,"Score >= 9","0K-4.9K"
"9081","02CE3592780573807E4D454","36",2013-10-22,15000,528.84,9,"Score >= 9","10K-14.9K"
"9248","8CEF35971727412779FD725","36",2013-12-27,9498,303.36,9,"Score >= 9","5K-9.9K"
"9271","35E435935809489665C1906","36",2013-11-14,4000,130.01,9,"Score >= 9","0K-4.9K"
"9301","5B8635754868527270280D0","60",2013-04-25,4000,127.36,2,"1 <= Score <= 2","0K-4.9K"
"9333","0C9635966146975273B29C0","36",2013-12-31,12000,386.64,10,"Score >= 9","10K-14.9K"
"9363","0389358409915094157E6B6","36",2013-07-23,7000,220.94,9,"Score >= 9","5K-9.9K"
"9373","9BA73588872491490FB9D72","60",2013-09-20,8000,215.75,2,"1 <= Score <= 2","5K-9.9K"
"9401","F4DC35838361624521A44E1","36",2013-08-02,15000,473.44,10,"Score >= 9","10K-14.9K"
"9439","DE93359164000790086110A","36",2013-10-22,4000,135.72,11,"Score >= 9","0K-4.9K"
"9640","A6C13574655626550346F65","36",2013-04-05,5500,169.8,10,"Score >= 9","5K-9.9K"
"9650","03323568374988773E32964","60",2013-01-29,8000,237.49,2,"1 <= Score <= 2","5K-9.9K"
"9674","15E23579604961788FDC8E0","36",2013-06-04,11500,353.3,10,"Score >= 9","10K-14.9K"
"9706","0C4B35838665572666CD86F","36",2013-07-24,4000,139.82,10,"Score >= 9","0K-4.9K"
"9736","A6E03585705243551A84672","36",2013-08-07,5000,157.81,10,"Score >= 9","0K-4.9K"
"9797","0C68357230594884629A733","36",2013-05-08,5000,160.73,9,"Score >= 9","0K-4.9K"
"9881","923E3594740870120FCCE0E","36",2013-11-07,15000,505.34,9,"Score >= 9","10K-14.9K"
"9914","813435927918524049EB1BD","36",2013-11-18,6500,218.98,9,"Score >= 9","5K-9.9K"
"9978","0C433594324626767CE412C","36",2013-11-26,14000,447.15,9,"Score >= 9","10K-14.9K"
"10002","A11A3580833776541D60E26","36",2013-06-18,2000,69.91,9,"Score >= 9","0K-4.9K"
"10040","0BF135813548013386045BD","36",2013-06-10,4000,124.59,10,"Score >= 9","0K-4.9K"
"10041","0BF4358305733983807BC1B","36",2013-07-18,5500,173.6,9,"Score >= 9","5K-9.9K"
"10056","53913584179943603C811D6","60",2013-07-29,10000,270.48,2,"1 <= Score <= 2","5K-9.9K"
"10072","4BF63577047124815FEF9EC","60",2013-05-21,4000,130.2,2,"1 <= Score <= 2","0K-4.9K"
"10077","4C223587089647439F72CEC","36",2013-08-27,2000,61.75,10,"Score >= 9","0K-4.9K"
"10096","8BCD3585114560591723FEB","60",2013-07-31,15000,455.52,2,"1 <= Score <= 2","10K-14.9K"
"10117","E1CB3594219381962B2CDCD","36",2013-11-29,4000,136.69,9,"Score >= 9","0K-4.9K"
"10134","8D063597782957875E169D8","60",2013-12-16,10000,296.69,2,"1 <= Score <= 2","5K-9.9K"
"10164","151D3588205475458BF4DAD","36",2013-09-11,15000,473.44,10,"Score >= 9","10K-14.9K"
"10172","4C393594785342133FE1A6B","36",2013-11-12,2000,60.89,11,"Score >= 9","0K-4.9K"
"10184","85A13566832011842E4AC17","36",2013-02-05,12500,412.38,10,"Score >= 9","10K-14.9K"
"10211","838435798331318213817AE","36",2013-05-23,10000,311.48,10,"Score >= 9","5K-9.9K"
"10257","12B435752701532333E8F1B","36",2013-04-12,9500,297.65,9,"Score >= 9","5K-9.9K"
"10332","6A6D3594433975763669844","36",2013-11-06,7000,213.11,11,"Score >= 9","5K-9.9K"
"10412","CC0135947576648988BFEBF","36",2013-11-19,4000,124.72,11,"Score >= 9","0K-4.9K"
"10419","F0AD3596385895888F6B0D0","36",2013-12-10,2000,64.9,10,"Score >= 9","0K-4.9K"
"10539","0C5D3594382214555DAF612","36",2013-11-15,12000,392.81,11,"Score >= 9","10K-14.9K"
"10560","49FF35739030072130A97F0","60",2013-04-03,4000,126.04,2,"1 <= Score <= 2","0K-4.9K"
"10593","68693569026746960868E81","36",2013-01-30,10000,332.29,9,"Score >= 9","5K-9.9K"
"10700","CAF13591991965311A4E787","36",2013-10-11,5000,168.45,9,"Score >= 9","0K-4.9K"
"10743","168C35797899985133CAC29","60",2013-05-31,12000,364.42,2,"1 <= Score <= 2","10K-14.9K"
"10766","9CF435881890941686E5E64","36",2013-09-09,5000,154.36,10,"Score >= 9","0K-4.9K"
"10793","7C9F359230669452019C15E","36",2013-10-24,4000,122.76,11,"Score >= 9","0K-4.9K"
"10809","CC953576332266422DB2F4C","36",2013-04-26,2500,92.13,9,"Score >= 9","0K-4.9K"
